"1","macbook","macbook pro 2 years old","1200",\N,"2014-12-30 14:14:43","2015-02-03 07:08:30","12","outdoor","3",\N,"MUMBAI","1"
"2","46 inch tv","TV with 5.1 speakers","500",\N,"2014-12-31 01:01:38","2015-02-03 07:08:14","12",\N,"3",\N,"MUMBAI","1"
"3","LG nexus","brand new with kit kat installed","500",\N,"2014-12-31 03:54:25","2015-02-03 07:08:53","12","Camera","3",\N,"MUMBAI","1"
"4","firefox","geared firefox hybrid","500",\N,"2014-12-31 03:58:05","2015-02-16 08:33:51","12","Bicycle","3",\N,"MUMBAI","1"
"5","scott x50","hybrid bike. great for moderate biking","1000",\N,"2014-12-31 04:04:38","2015-02-19 12:45:04","12","Bicycle","3",\N,"MUMBAI","1"
"6","bike mount","capable of holding atleast 4 bikes","100",\N,"2014-12-31 04:22:26","2015-02-19 12:45:28","12","Bicycle","3",\N,"MUMBAI","1"
"7","Sea eagle","inflatable raft. Can seat 2","1500",\N,"2014-12-31 04:24:19","2015-02-19 12:47:33","12","Outdoor","3",\N,"MUMBAI","1"
"8","hammock","synthetic material. Can hold 4.","250",\N,"2014-12-31 04:30:25","2015-02-01 10:48:46","12",\N,"3",\N,"MUMBAI","1"
"9","Camping Mat","Durable camping mat. suitable for all weather conditions","100",\N,"2015-01-14 09:01:12","2015-02-19 12:47:47","19","Outdoor","3",\N,"MUMBAI","1"
"10","Mat for camping","light weight, durable, trendy colors","110",\N,"2015-01-14 09:02:37","2015-02-19 12:44:14","19","Outdoor","3",\N,"MUMBAI","1"
"11","Mat for camping","light weight, durable, trendy colors","110",\N,"2015-01-14 09:11:07","2015-02-01 11:05:10","19",\N,"3",\N,"MUMBAI","1"
"12","projector screen","ceiling mounted.","500",\N,"2015-01-18 10:00:08","2015-02-03 07:09:13","12",\N,"3",\N,"MUMBAI","1"
"13","bla bla","abdhdkd","500",\N,"2015-01-24 13:22:11","2015-02-03 07:00:53","19",\N,"3",\N,"MUMBAI","1"
"14","Canon EOS 600D with 18-55mm Lens","With 18 Mega Pixels, this camera is said to be the most recommended entry-level \
Camera. For moments worth more than an image, this DSLR, records full HD quality video. Go ahead and discover the artist in you!\
Pick your dates. The longer you rent, the lower the price.\
","2000",\N,"2015-02-09 04:11:53","2015-04-16 14:03:07","19","Camera","1","1.00","MUMBAI","1"
"15","Sony Handycam HDR CX-110","Super lightweight camcorder with 2.7”Slim LCD wide viewing angle, it is handy and captures every detail, even in challenging low-light situations. With the ability to record unforgettable experience in Full High Definition, you can now relive and experience every journey again in stunning lifelike clarity!\
Pick your dates. The longer you rent, the lower the price.\
","1000",\N,"2015-02-09 04:13:34","2015-05-01 03:12:55","1","Camera","1","5.00","MUMBAI","1"
"16","Bushnell 10X42 Legend Ultra HD Binoculars","The very impressive Legend Ultra HD binocular is made for high powered viewing and concealment. Its ED Prime Glass provides sharp, color-true detail for the best HD image. It also has a field of view that is 12% wider than other 10x binoculars in its class. Enough said, best way to experience this awesomeness is to try it!\
Pick your dates. The longer you rent, the lower the price.\
","1000",\N,"2015-02-09 04:15:49","2015-04-29 15:45:41","19","Outdoor","1","4.50","MUMBAI","1"
"17","BTwin"," An easy-to-maintain comfortable cycle suitable for city roads.  \
Rear luggage carrier(5 kgs load), cycle lock and cycle stand available with the cycle (No extra cost). Btwin frame with lifetime warranty, comfortable for short city rides who want to explore the city. ","500",\N,"2015-02-09 04:47:32","2015-06-19 11:25:47","28","Bicycle","1","2.00","MUMBAI","1"
"18","Scott Aspect 740","The SCOTT Aspect 740 is a mountain hardtail that is designed to be light, efficient and reasonably priced. Featuring a lockout mechanism for the fork, disc brakes and Syncros components, this is the perfect bike for the novice or budget conscious mountain biker. Available in 27.5\" wheel size.","500",\N,"2015-02-16 03:43:19","2015-04-29 15:58:41","37","Bicycle","1","1.00","MUMBAI","1"
"19","MTB","Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 04:13:40","2015-02-16 04:48:53","1","Bicycle","3",\N,"MUMBAI","1"
"20","Yellow MTB Bike","Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 05:40:46","2015-04-29 16:02:35","32","Bicycle","1","1.00","MUMBAI","1"
"21","Firefox Roadbike ","Roadbikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","700",\N,"2015-02-16 06:14:02","2015-04-29 15:46:40","32","Bicycle","1","1.00","MUMBAI","1"
"22","BSA Tandem Duo ","Go on a joy ride with a partner on BSA Tandem Duo Bike! Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","800",\N,"2015-02-16 07:01:31","2015-04-29 15:43:35","32","Bicycle","1","1.00","MUMBAI","1"
"23","Bergamont Helix 5.1","Bergamont Helix 5.1.\
Gears: 9x3\
Hybrid tires.\
Front Suspension.\
Frame size: Medium. \
\
Comfortable for Long and Short distances, in city as well as off-road.","300",\N,"2015-02-16 07:05:28","2015-02-19 12:57:17","1","Bicycle","1","1.00","MUMBAI","1"
"24","MTB","Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 07:10:14","2015-04-29 15:55:18","32","Bicycle","1","1.00","MUMBAI","1"
"25","Silver Hybrid Bike","Blending the characteristics of more specialised Roadbikes, MountainBikes and TouringBikes, these bikes are perfect for a newbie! Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 07:17:16","2015-04-29 16:00:29","32","Bicycle","1","1.00","MUMBAI","1"
"26","GT MTB Bike","GT Bicycles is a premier brand of mountain bicycles.Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 07:26:59","2015-04-29 16:08:21","32","Bicycle","1","1.00","MUMBAI","1"
"27","Schwinn Hybrid","Blending the characteristics of more specialised RoadBikes, MountainBikes and TouringBikes, Hybrids are perfect for a newbie!Cycles come along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 07:41:10","2015-04-29 15:57:21","32","Bicycle","1","1.00","MUMBAI","1"
"28","Schwinn Searcher Hybrid","Perfect for riders who want a comfortable and versatile bike for casual and fitness riding on and off the road. Cycle comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 08:12:59","2015-04-29 15:57:44","32","Bicycle","1","1.00","MUMBAI","1"
"29","Hybrid Fomas Bike","Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.\
Cycle comes along with Helmets n locks for the safety. Can be rented for short term or long. ","500",\N,"2015-02-16 08:21:42","2015-02-16 08:22:18","1","Bicycle","3",\N,"MUMBAI","1"
"30","Hercules Neo","Hercules Neo is a perfect bike for recreational rides, commuting and for fitness. Its light weight with Shimano 21 speed gears and adjustable handle bar stem. ","500",\N,"2015-03-02 10:52:04","2015-04-29 15:50:38","36","Bicycle","1","2.00","MUMBAI","1"
"31","Hercules Ryder","Hercules Ryders Neo is a perfect bike for recreational rides, commuting and for fitness. Its light weight with Shimano 21 speed gears and adjustable handle bar stem. ","500",\N,"2015-03-02 11:03:04","2015-04-29 15:54:29","36","Bicycle","1","2.00","MUMBAI","1"
"32","Urban Trail Hardy 2.1","The world is full of destinations to be explored by the people who dare. The daring spirit of adventure lies in the heart of every person to be ignited until he finds the perfect companion. Urban Trail sees those destinations as a challenge waiting to be conquered, by you.' Urban Trail Hardy 2.1 is an MTB perfect for leisure/fitness, with wheel size 26.","800",\N,"2015-03-02 11:22:20","2015-04-29 16:01:47","36","Bicycle","1","3.00","MUMBAI","1"
"33","Prowheel Outlander","Prowheel outlander is a great outdoor bicycle great fr leisure and fitness. With 26 wheelsize, shock absorber and dual suspension this bike is wonderful for cities and off roading","800",\N,"2015-03-02 12:06:00","2015-04-29 15:56:38","36","Bicycle","1","3.00","MUMBAI","1"
"34","BTwin","An easy-to-maintain comfortable cycle suitable for city roads. Btwin frame with lifetime warranty, comfortable for short city rides who want to explore the city. Bike comes with front shock absorbers and disc brakes","500",\N,"2015-03-02 12:26:20","2015-04-29 15:45:22","36","Bicycle","1","4.00","MUMBAI","1"
"35","Trek 2.1 Roadbike","Trek's 2.1 boasts a lightweight Alpha Black aluminum frame with a road-carving carbon fork. The hill-conquering Shimano drivetrain and Bontrager's SSR wheelset will have you rolling farther and faster than you thought possible. Plus, it sports a fine selection of Bontrager components, too, including a comfy saddle and a carbon seatpost.","1000",\N,"2015-03-02 13:08:44","2015-04-29 16:01:11","36","Bicycle","1","4.00","MUMBAI","1"
"36","2 Person Tent","Condition:Very Good.100% waterproof\
Weight ~3Kgs, Six tents fit in one trekking bag. Extremely easy to pitch and high endurance to wind.\
\
When packed/rolled:\
Diameter: 5 inches\
Length: 18 inches\
\
When pitched on ground:\
2.5*1.5 meters","150",\N,"2015-03-04 15:24:36","2015-04-29 16:49:52","42","Outdoor","1","3.50","MUMBAI","1"
"37","4 Person Tent","Condition:Very Good\
100% waterproof\
Weight ~3Kgs,\
Four tents fit in one trekking bag\
Extremely easy to pitch\
High endurance to wind	\
\
When packed/rolled:\
Diameter: 6 inches\
Length: 20 inches\
\
When pitched on ground:\
2.5*1.5 meters","250",\N,"2015-03-04 15:26:54","2015-04-29 16:51:11","42","Outdoor","1","3.00","MUMBAI","1"
"38","Sleeping Bags","Condition:Very Good\
Weight ~500 Gms,\
4 Fits easily in a laptop bag\
With and without chain","60",\N,"2015-03-04 15:27:59","2015-04-29 16:50:51","42","Outdoor","1","3.00","MUMBAI","1"
"39","Camping Mats","Condition:Very Good\
Weight ~80 Gms,\
Can be rolled and tied outside your bag","20",\N,"2015-03-04 15:30:01","2015-04-29 16:50:24","42","Outdoor","1","3.00","MUMBAI","1"
"40","Trekking bags/ backpacks","Ultralight series\
Capacity: 50 / 60 / 70 liters","75",\N,"2015-03-04 15:32:37","2015-04-29 16:49:23","42","Outdoor","1","4.00","MUMBAI","1"
"41","Hercules Roadeo Crosswind","An easy to maintain comfortable cycle suitable for city roads.","200",\N,"2015-03-05 09:07:59","2015-03-05 09:08:51","1","Bicycle","1","4.00","MUMBAI","1"
"42","Quechua Tent for 2","Enjoy camping in this cozy tent ideal for 2 people. \
Compact and easy to pitch and pack, enjoy the comfort of this tent in your next outdoor adventure.","300",\N,"2015-04-01 08:29:34","2015-04-29 16:18:52","40","Outdoor","1","4.00","MUMBAI","1"
"43","Quechua Tent for 3","\"Enjoy camping in this cozy tent ideal for 3 people \
Compact and easy to pitch and pack, enjoy the comfort of this tent in your next outdoor adventure\"","500",\N,"2015-04-01 08:36:48","2015-04-29 16:19:46","40","Outdoor","1","4.00","MUMBAI","1"
"44","Quechua 3XL Tent for 5","\"Enjoy camping in this cozy tent ideal for 5 people \
Compact and easy to pitch and pack, enjoy the comfort of this large tent in your next outdoor adventure\"","700",\N,"2015-04-01 08:39:17","2015-04-29 16:17:09","40","Outdoor","1","4.00","MUMBAI","1"
"45","Quechua Sleeping Bag S20","Weighing 1.2 kgs, this sturdy sleeping bag will make you feel comfortable after a tough days trek/hike","100",\N,"2015-04-01 08:40:19","2015-06-03 07:29:43","40","Outdoor","1","3.00","MUMBAI","1"
"46","Black Magic 4K","The world’s smallest super wide dynamic range PL mount 4K digital film camera features cinematic Super 35 sized sensor with global shutter. Includes 12 stops of dynamic range, built in 4K RAW and ProRes SSD recorder, touch screen with metadata entry, strong machined aluminum chassis and more. Includes DaVinci Resolve software for a complete solution for shooting, editing, color correcting and finishing 4K digital film","6000",\N,"2015-04-29 16:17:47","2015-07-10 11:19:22","35","Camera","1","9.00","MUMBAI","1"
"47","Canon 1DC","The EOS-1D C - the first Canon hybrid DSLR to offer onboard 4K motion imaging and Full HD motion imaging on CF cards, in a rugged, ultra-compact form factor. Weight (without eye -cup):1545g","7000",\N,"2015-04-29 16:20:55","2015-06-29 17:54:49","35","Camera","1","4.50","MUMBAI","1"
"48","Canon 5D mark II","The EOS 5D Mark II has a stunning 21.1-megapixel full-frame CMOS sensor with DIGIC 4 Image Processor, a vast ISO Range of 100-6400 (expandable to ISO L: 50, H1: 12800 and H2: 25600), plus EOS technologies like Auto Lighting Optimizer and Peripheral Illumination Correction. Weight(Body only): 810g","2000",\N,"2015-04-29 16:22:13","2015-06-29 17:52:36","35","Camera","1","4.50","MUMBAI","1"
"49","Canon 5D Mark III","With supercharged EOS performance and stunning full frame, high-resolution image capture, the EOS 5D Mark III is designed to perform. Special optical technologies like the 61-Point High Density Reticular AF and an extended ISO range of 100–25600 make the it ideal for shooting weddings in the studio or out in the field, and great for still photography. Weight: 860g","3000",\N,"2015-04-29 16:23:33","2015-06-29 17:58:52","35","Camera","1","4.50","MUMBAI","1"
"50","Canon 7D","With a host of features designed to enhance every facet of the photographic process, from still images to video, the EOS 7D represents an advanced class of camera. Made to be the tool of choice for serious photographers and semi-professionals, the EOS 7D features an 18.0 Megapixel APS-C size CMOS sensor and Dual DIGIC 4 Image Processors.Weight(Body only):820g","1500",\N,"2015-04-29 16:24:31","2015-06-29 18:44:27","35","Camera","1","4.50","MUMBAI","1"
"51","Canon 8mm to 15mm L Series fisheye F4","This lens delivers 180° diagonal angle of view images for all EOS SLR cameras with imaging formats ranging from full-frame to APS-C, and provides 180° circular fisheye images for full-frame EOS models. The finest optics, the best construction and the best performance available, all in a single lens which stimulates creativity and delivers stunning images every time. Weight: 540g","2000",\N,"2015-04-29 16:26:16","2015-06-30 05:19:48","35","Camera","1","4.50","MUMBAI","1"
"52","Canon 10 - 22mm EFS. F3.5-5.6","Canon EF-S 10-22mm f/3.5-5.6 USM Lens provides EF-S compatible camera body owners with the ultra-wide angle focal lengths. Weight: 385g","1500",\N,"2015-04-29 16:33:12","2015-06-29 09:04:23","35","Camera","1","4.50","MUMBAI","1"
"53","Canon 16-35 L Series F2.8","Good as a full-frame, wide field of view, low light lens. This is a very nice handling and carrying lens. Can be used for light group as well as wide landscape photography. Weight: 600g ","1200",\N,"2015-04-29 16:34:39","2015-06-29 10:34:24","35","Camera","1","4.50","MUMBAI","1"
"54","Canon 16-35 L2 Series F2.8","This ultra-wide lens has become a new standard for all kinds of photographers for landscape photography. It can be used for architecture and real estate photography. It's an amazing lens to use underwater as well. Weight: 640g","2000",\N,"2015-04-29 16:35:39","2015-06-29 10:45:08","35","Camera","1","4.50","MUMBAI","1"
"55","Quechua Tent for 2","Enjoy camping in this cozy tent ideal for 2 people. \
Compact and easy to pitch and pack, enjoy the comfort of this tent in your next outdoor adventure. Very easy to pitch and pack","250",\N,"2015-04-29 16:36:37","2015-04-29 16:36:37","41","Outdoor","0","5.00","MUMBAI ","1"
"56","Canon 18-200mm. EFS. F3.5-5.6","This is a good travel lens. This lens offers a great focal length range and excellent image stabilization in a compact package. Weight: 600g","1000",\N,"2015-04-29 16:38:07","2015-07-10 11:19:56","35","Camera","1","9.00","MUMBAI","1"
"57","Canon 24-70 L Series F2.8","The Canon EF 24-70mm f/2.8L USM Lens is an impressively high performing zoom lens. It is regarded as one of the best general purpose lenses available and for the same reasons, it is one of the most-professionally-used Canon lenses. Can be used in various genres right from wedding photography to landscape photography. Weight: 950g","1200",\N,"2015-04-29 16:40:57","2015-06-29 12:23:52","35","Camera","1","4.50","MUMBAI","1"
"58","Canon 24-70 L2 Series F2.8","This lens is very sharp/has excellent contrast across the frame even at f/2.8 and is well built, focuses extremely fast and contains a most-used range of focal lengths. Weight: 805g","2000",\N,"2015-04-29 16:41:58","2015-06-29 12:33:11","35","Camera","1","4.50","MUMBAI","1"
"59","Canon 24-105 L Series F4","This is one of the best and most popular Canon general purpose lenses made. Good for indoor event photography. \
Weight: 670g","1000",\N,"2015-04-29 16:45:28","2015-06-29 12:18:43","35","Camera","1","4.50","MUMBAI","1"
"60","Canon 35mm L series F1.4","The EF 35mm f/1.4L USM Lens is a really nice and very well regarded Canon prime lens. This lens can be ideal for loosely cropped full body portraits - especially in limited space situations. Low light handholdability, makes it suitable for wedding photography. Weight: 580g","2000",\N,"2015-04-29 16:46:54","2015-06-29 12:50:12","35","Camera","1","4.50","MUMBAI","1"
"61","Canon 50mm F1.4","This is a sharp, small, light, inexpensive and with an f1.4 aperture, fast lens which gives great image quality. Useful for low-light indoor photography,full body portraits and serves as a good travel lens too. Weight: 290g","750",\N,"2015-04-29 16:47:58","2015-06-29 12:55:05","35","Camera","1","4.50","MUMBAI","1"
"62","Canon 50mm F1.8","Currently the canon's lightest lens, delivers a very sharp image. Lens is good for low-light indoor photography, full body portraits as well as travel. Weight: 130g","500",\N,"2015-04-29 16:49:15","2015-06-29 13:06:25","35","Camera","1","4.50","MUMBAI","1"
"63","Canon 50mm L Series F1.2","The EF 50mm f/1.2L USM is a peerless new standard lens featuring an ultra-large aperture for a narrow depth of field and soft background blur. It is suitable for any shooting situation; its construction minimizes ghosting and flare that frequently occurs when lenses are used with digital cameras. Weight: 545g","2000",\N,"2015-04-29 16:50:28","2015-06-30 11:14:44","35","Camera","1","4.50","MUMBAI","1"
"64","Canon 70-200 L Series F2.8 IS 2","One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g","2000",\N,"2015-04-29 16:51:54","2015-06-29 18:11:18","35","Camera","1","4.50","MUMBAI","1"
"65","Canon 70-200 L Series F2.8 IS 2","One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g","1500",\N,"2015-04-29 16:53:03","2015-06-29 18:11:53","35","Camera","1","4.50","MUMBAI","1"
"66","Canon 70-200 L Series F2.8 IS 2","One of the finest telephoto zoom lenses in the EF line, comparable to a single focal length lens. It has four UD-glass elements to correct chromatic aberrations. Its constant f/2.8 maximum aperture and superb image quality make it one of the most popular professional SLR lenses in the world. Weight: 1310g","1200",\N,"2015-04-29 16:54:11","2015-06-29 18:12:46","35","Camera","1","4.50","MUMBAI","1"
"67","Canon 70D","Dual Pixel CMOS AF-this game-changing technology allows the EOS 70D to capture video in Live View with smooth and precise autofocus similar to that of a camcorder, complete with the superb image quality that is a hallmark of EOS cameras. In-camera imaging features like HDR, HDR Backlight Control, Multiple Exposure, Handheld Night Scene, and Creative Filters available in real time help turn even simple images into spectacular photos. Weight(Body only): 675g","1500",\N,"2015-04-29 16:55:27","2015-06-29 18:19:01","35","Camera","1","4.50","MUMBAI","1"
"68","Canon 85mm L Series F1.2","With a large maximum aperture of f/1.2, this is the fastest 85mm telephoto lens in its class. One Aspherical lens element and two high-refraction elements give sharp images with little flare even at maximum aperture. The floating system corrects coma for high image quality. Weight: 1025g","2000",\N,"2015-04-29 16:56:46","2015-06-29 18:50:03","35","Camera","1","4.50","MUMBAI","1"
"69","Canon 100-400mm F4.5-5.6 L series IS lens","The Canon EF 100-400mm f/4.5-5.6L IS USM Lens has an excellent focal length range that includes the longest focal length found in a Canon zoom lens - 400mm. This long focal length and focal length range combine with very good image and build quality to make the 100-400 L one of the most popular serious wildlife and sports lenses Canon sells. Weight: 1380g","2000",\N,"2015-04-29 16:58:55","2015-07-10 11:16:58","35","Camera","1","8.00","MUMBAI","1"
"70","Portable Camping Tent (3-4 people)","The tent is designed to house 3 adults comfortably & 4 adults Max. This dome shaped tent is has one main room inside it. There are two vents that allow fresh air to flow through it. The hollow pole used to prop up the tent is made of high quality fiberglass. Unlike other tents this is not only light weighted but can be set-up in less than two minute! Just carry your tent along!  The large front entrance is equipped with a 2-way zipper mesh closure and zippered storm flaps.","650",\N,"2015-04-29 16:59:43","2015-04-29 16:59:54","43","Outdoor","1","6.00","Mumbai ","1"
"71","Canon 100mm F2","Along with good contrast and saturation, Low light action sports is a specific task the 100 f/2 is well suited for. This lens works well for indoor events. Weight: 460g","2000",\N,"2015-04-29 17:00:25","2015-06-29 09:20:16","35","Camera","1","4.50","MUMBAI","1"
"72","Portable Camping Tent (2 people)","This is a light weight portable camping tent which can be set up in less than a minute. Just pack and go!! Its constructed with a durable polyester fabric wall & roof, with silver polyurethane and a shock corded fiber glass pole frame. It has a large front entrance equipped with a zipper mesh closure & storm flaps.","400",\N,"2015-04-29 17:02:14","2015-04-29 17:02:14","43","Outdoor","0","6.00","Mumbai ","1"
"73","Canon 100mm Macro. USM F2.8 L Series IS","100mm fixed focal length; F2.8 maximum aperture.Macro focusing: 1:1 maximum magnification. 'Hybrid' image stabilization system for increased effectiveness at close focus distances\
