macbook,macbook pro 2 years old,outdoor,MUMBAI
Nikkor 16mm Fisheye Lens F2.8.,Full-frame fisheye images with a picture angle of 180° (diagonal). Close-Range Correction (CRC) system provides high performance at both near and far focusing distances. Compatible with: FX Digital Cameras. Weight 290g,Camera,MUMBAI
Nikkor 24-70 L F2.8 AF-S,"Enhanced optical formulas, engineered to produce exceptional sharpness, contrast and color, render outstanding image integrity. Lens barrel is built for comfortable holding while featuring a rugged design; zoom and focusing rings provide smooth operation. Compatible with: Works on every DX and FX digital SLRs. Weight: 900g. ",Camera,MUMBAI
Nikkor 24-70 L2 F2.8 AF-S,"Enhanced optical formulas, engineered to produce exceptional sharpness, contrast and color, render outstanding image integrity. Lens barrel is built for comfortable holding while featuring a rugged design; zoom and focusing rings provide smooth operation. Compatible with: Works on every DX and FX digital SLRs. Weight: 900g.",Camera,MUMBAI
Nikkor 70-300 AF-S F4-5.6,"The VR minimizes camera shake by offering the equivalent of a shutter speed 2.5 stops faster. The IF design provides a constant lens length and eliminates rotation of the front lens element, facilitating the use of circular polarizing filters. Compatible with: FX and DX Digital SLRs. Weight: 745g ",Camera,MUMBAI
Nikkor 80-200 F2.8 AF-S VR,"Fast and constant f/2.8 maximum aperture through the entire focal range. Rotating zoom ring for precise zoom operation. Compatible with: This is an FX lens, and works especially well with on FX, 35mm and DX Nikons. It works fantastically on manual-focus cameras like the F2AS, F3, FE and FA. Weight: 1300g",Camera,MUMBAI
Nikkor 80-400 F4.5-5.6 AF VR,"5x telephoto zoom lens covering the focal-length range from 80 to 400 mm. VR (Vibration Reduction) minimizes camera shake by offering a shutter speed equivalent to 4.0 stops faster. Compatible with: All Nikon digital camera including FX, DX and new 35mm Nikons. Incompatible with old 35mm Nikons. Weight: 1480g ",Camera,MUMBAI
Nikkor 85mm F1.4,"Newly developed optical system realizes high picture quality and high performance. With the internal focusing (IF) system, the lens barrel length does not change during focusing. Compatible with: Both FX and DX Digital SLRs. Incompatible with old cameras. Weight: 595g",Camera,MUMBAI
Nikkor AF-S 105 macro Lens F2.8. VR,"The VR function minimizes camera shake by offering the equivalent of a shutter speed 3.0 stops faster at near infinity to 3m (1/30x reproduction ratio) shooting. The SWM enables fast and quiet autofocusing, and quick switching between autofocus and manual operation. Compatible with: On most of Nikon DSLRs, incompatible with D40, D40x, or D60. Weight: 750g",Camera,MUMBAI
Nikon 20mm Block F2.8,Versatile ultra-wideangle lens for general photography. Close-Range Correction (CRC) system provides high performance at both near and far focusing distances. Compatible with: FX and DX DSLRs. Weight: 270g,Camera,MUMBAI
Nikon 24-120 F3.5-5.6,"High-power wideangle zoom lens featuring SWM and VR system. Two aspherical lenses and two ED glass elements give higher optical performance. Compatible with: FX and DX DSLRs, incompatible with older cameras. Weight: 575g",Camera,MUMBAI
Nikon 50mm 1.4,"This is a high-performance normal lens. Provides high-contrast image even with maximum aperture. Ideal for travel and full-length portraits in available light. Compatible with: Most of the Nikon DSLRs, incompatible with:  D40, D40x, and D60, Weight: 230g",Camera,MUMBAI
Nikon 70-200 VR2,,Camera,MUMBAI
Nikon D800,"The Nikon D800 is the world's highest technical performance DSLR for outdoor, nature, landscape and many other kinds of precision photography. It has a really good resolution. Weight(Body Only): 900g",Camera,MUMBAI
Nikon D7000,"Superior picture quality throughout a wide ISO sensitivity range of ISO 200 to 6400; can be set to ISO-equivalent 25,600. Nikon's original Scene Recognition System, utilizing the 1,005-pixel RGB sensor, greatly improves autofocus, auto exposure and auto white balance performance. Weight(Body only): 995g",Camera,MUMBAI
Sigma 10-20mm F4-5.6 DC HSM,"This is an Ultra-wideangle zoom lens. Works for Canon, Nikon, Sigma and Four Thirds mounts with built-in HSM focusing motor, and Pentax and Sony mounts with focus driven from camera body (non-HSM version). Weight: 470g",Camera,MUMBAI
Sigma 100-300 F4.5-6.7 DL for Nikon Mount(FX & DX compatible),"This lens covers the most frequently used telephoto focal lengths, making it perfect for a broad range of subjects and applications, from portraiture to sports and nature shooting. Weight: 422g",Camera,MUMBAI
Sony EX3,"The EX3 gives outstanding picture performance, creative features and workflow innovation. Includes studio functions such as genlock and remote control, an interchangeable lens system and new ergonomic features which provide camera operators further flexibility in whatever style of production is chosen. Weight(Body only): 1900g",Camera,MUMBAI
Sony NX5,"The NX5E is the first camcorder of its class to feature a built-in GPS locator, high quality Linear PCM audio recording and new Active SteadyShot stabilisation technology.  It records stunning quality 1920 x 1080 images at 24Mbps (50i or 25p), as well as supporting 720/50p and Standard Definition recording. Weight: 2000g",Camera,MUMBAI
Sony PXW Z100 (4K),"The PXW-Z100 can be used in the same way as conventional professional handy-type cameras, 4K content can be recorded by a minimal number of staff. In addition, during editing for a HD project, 4K source material provides significant additional creative options. Weight: 2460g",Camera,MUMBAI
Sony PMW 150,"The PMW-150 is a compact camcorder with three 1/3-inch-type Full-HD sensors. It is widely accepted in broadcasting stations and production houses – helps boost user creativity in many different applications, including news gathering and documentary production. Weight (Body only): 2100g ",Camera,MUMBAI
Tamron 150-600mm F/5-6.3,This lens has a full-time manual focus mechanism and consists of removable tripod mount. Compatibility: Canon EF mount lens. Weight: 2812g,Camera,MUMBAI
Tokina 11-16 Lens F2.8. Canon mount,"This compact ultra wide-angle zoom has a bright constant F/2.8 aperture make viewing and auto focus possible in lower light situations but still maintaining a reasonable size and weight. compatible with: Canon, Weight: 550g",Camera,MUMBAI
Tokina 11-16 Lens F2.8. Nikon mount,"This compact ultra wide-angle zoom has a bright constant F/2.8 aperture make viewing and auto focus possible in lower light situations but still maintaining a reasonable size and weight. compatible with: Nikon, Weight: 550g",Camera,MUMBAI
Sony Alpha A7S,Alpha A7S is the world's smallest full frame interchangeable lens camera. Compatible with sony E-mount lenses. Connectivity with smart phones for one touch sharing. Weight(Body only): 446g,Camera,MUMBAI
Canon 14mm L series F2.8,This is a great ultra-wide angle EF lens. A bulging convex front lens element and a built-in metal lens hood are identity features of this lens and gives an amazing optical performance. Weight: 645g,Camera,MUMBAI
Canon 24mm L series F1.4,"The wide aperture makes the Canon EF 24mm f/1.4L USM Lens suitable for low-light and low-light action photography. Suitable to use for portraits at a distance such as environmental portraits, group photos, stage photography, etc. Weight: 550g ",Camera,MUMBAI
Canon 18- 200 mm. EFS. F3.5-5.6,This is a good travel lens. This lens offers a great focal length range and excellent image stabilization in a compact package. Weight: 600g,Camera,MUMBAI
Ziess ZF2 lens kit,,Camera,MUMBAI
Prestige PPBB 02 Barbecue Set,Compact and foldable ultra-light portable barbeque grill. Weight - 850 grams. Material - Stainless Steel. Color - Steel Grey. Size - 11.25\,2015-06-03 06:38:57,Outdoor
Quechua Camping/hiking Table Set Brand,"Suitable for campers looking for a complete and compact table for 4 people. 4 seats are built into the table for easy transport. Easy to transport - Seats and table fold away into a compact suitcase (60 x 60 x 10 cm). Weight - 8.7 kg. Easy to use - Large table top (120 x 60 cm) + 4 separate chairs (suitable for adults and kids). Composition - Laminate, aluminium and steel. Durability - Laminated table top with aluminium frame and reinforcements. Steel legs. Restriction of use - Maximum weight table can hold is 50 kg. Minimum rental period is 3days.",Outdoor,MUMBAI
Quechua Camping Arm Chair,"Designed for campers looking for a stable and comfortable seat in outdoor situations.2 arm rests, minimum folded size. Durability - highly durable steel tubes and 600 denier polyester fabric DIMENSIONS AND WEIGHT - 2.5 kg USE - Tested for a maximum weight of 110 kg. Minimum rental period 3 days.",Outdoor,MUMBAI
BBQ Grill Nano Compact Ultra-light Portable and Foldable,Compact and foldable ultra-light portable barbeque grill. Weight - 850 grams. Material - Stainless Steel. Color - Steel Grey. Size - 11.25\,2015-06-03 06:50:07,Outdoor
Quechua Light Sleeping Bag for 15 degree temperature,"Designed for sleeping at temperatures close to 15°C while HIKING. The most lightweight & compact in the Quechua range. Weight - 700 g. Compatibility - can be twinned to sleep 2 people by linking a right zip bag to a left zip bag. COMPOSITION of inner fabric: 100% polyester, Outer fabric: 100% polyester, Insert: 100% polyamide, filling: 50 g/sqm and 100% polyester technical wadding. DIMENSIONS AND WEIGHT - 200 × 75 × 15 cm 0.7 kg. Folded size: diameter 12 x 28. Flexibility: Can be twinned to sleep 2 people by linking a right zip bag to a left zip bag. Composition - Inner fabric: 100% polyamide, outer fabric: 100% polyester, Insert: 100% polyamide and wadding: 100% polyester. Need to Know About Temperatures: A sleeping bag does not produce heat, but \",Outdoor,MUMBAI
Quechua Sleeping Bag for 10 Degree Temperature,"Lightweight: 1.3 kg. Insulation: Comfort at 9C, min 5C . Freedom of movement: Trapeze shape, wider at the bottom for better sleeping comfort. Hood with drawcord. Outer fabric is water-resistant. Flexibility: Can be twinned to make a double Zip the right zip to the left zip. Composition: Inner fabric: 65% polyester, 35% cotton Outer fabric and filling: 100% polyester. Minimum rental period of 3 days",Outdoor,MUMBAI
Quechua light Sleeping Bag For 0 Degree Temperature,"Sport - Hiking Light weight - XL 1.8 Kg Folded size - XL 21 x 43 cm Thermal insulation - Comfortable temperature 0C/Limit temperature -5C Very warm with its mini-collar and hood. Flexibility - Can be twinned to sleep 2 people. Link a right zip bag to a left zip bag Composition - Inner fabric: 100% polyamide. Outer fabric: 100% polyester, insert: 100% polyamide and wadding: 100% polyester. Minimum rental period 3days",Outdoor,MUMBAI
Coleman Sundome Tent 7X7 3 Persons,This tent is designed for 2 people camping. It is wind resistant and waterproof. A Flysheet is there to protect you from condensation. Free-standing dome structure: simple to construct and pitch. Sleeping capacity width: 60 cm/person. Wind resistance: validated in wind tunnels and on a rotating plate. DIMENSIONS: Room 120 cm wide by 205 cm in length. Max. Headroom: 110 cm. WEIGHT: 2.4kg. Minimum rental period 3 days.,Outdoor,MUMBAI
Quechua Arpenaz Blue Tent for 2 persons,This tent is designed for 2 people camping. It is wind resistant and waterproof. A Flysheet is there to protect you from condensation. Free-standing dome structure: simple to construct and pitch. Sleeping capacity width: 60 cm/person. Wind resistance: validated in wind tunnels and on a rotating plate. DIMENSIONS: Room 120 cm wide by 205 cm in length. Max. Headroom: 110 cm. WEIGHT: 2.4kg. Minimum rental period is 3 days.,Outdoor,MUMBAI
Quechua 4 man Hiking Tent,"Designed for 4-person tent for OCCASIONAL FAMILY CAMPING mostly in fair weather, with 1 large bedroom. DIMENSIONS WEIGHT - Open living area measuring 3.2 sq/m with 1.85 m maximum headroom. Bedroom 240 cm x 220 cm long. Weight 7.5 kg. 20 cm additional length for keeping your belongings dry. Breathable polyester with high-placed vents. WATERPROOFING - All Quechua tents are laboratory tested (the WHOLE TENT under 200 litres/hour/sqm and for 4 hours!) and field tested before approval. VENTILATION - Very well ventilated. WIND RESISTANCE - Tested in a wind tunnel and on a rotating plate to expose each side of the tent to the wind. A properly assembled tent with all the stays in position around the tent should remain habitable under wind speeds measuring 50 km/h at ground level. Minimum rental is 3 days.",Outdoor,MUMBAI
FORCLAZ 10° LIGHT HIKING SLEEPING BAG,"Designed for sleeping at temperatures close to 10°C while HIKING. 1 kg in weight and is warm, light and ultra-compact. Can be twinned to sleep 2 people. Link a right zip bag to a left zip bag. COMPOSITION - Inner fabric: 100% polyester, Outer fabric: 100% polyester, Insert: 100% polyamide, Filling: 120 g/sqm. 100% polyester technical wadding. DIMENSIONS - 200 × 75 × 15 cm Folded size: L 14x31 Thermal insulation: Comfortable temperature: 10C / Min Temperature: 5C. Minimum rental period 3 days",Outdoor,MUMBAI
Quechua Lantern for Hiking,Designed for - camping and bivouacking. Weight - 230 g. 3 lighting settings - 15 hours in 100 lumens mode/50 hours in 50 lumens mode/100 hours in red mode. Versatility - Can be used as a table lamp or hanging lamp. Power - 0.3 W. Restriction of use - Remove batteries during a long-term storage. 4 AA batteries. Color - Blue. Minimum rental period 3 days.,Outdoor,MUMBAI
Quechua Sleeping Bag for 20 Degree Temp,"Designed for sleeping comfortably in warm temperatures of 20°C or more, when CAMPING. Thermal insulation - comfort temperature 20°C / Lower limit temperature 15°C. COMPOSITION of the outer fabric and lining: 100% polyester, filling: 180 g/sqm, 100% polyester wadding. Ease - Zip opening for easy and quick access. Converts into a duvet. To dry, lay the bag in a dry and airy, without sunlight or near a heat source, or machine-dry it, cool. Weight: 1.15 Kg. BenefitCan be convertible into a spare blanket. Folded size: 21 x 36 cm. Freedom of movement: Width- 75cm. Rectangular shape. Full zip. Minimum rental period is 3 days",Outdoor,MUMBAI
MagliteMini Torch 30 meters beam,"•	Designed for people who are adventure loving.
\
•	Has krypton bulb and highly refined reflector.
\
•	Creates a bright beam to light up your night-time adventures.
\
•	Water resistant and highly sturdy.
\
•	Perfect accessory for your trekking and adventurous trips.
\
Minimum rental period is 3 days.",Outdoor,MUMBAI
Quechua Trek Bag 100 Ltrs Hiking Duffle Bag,"•	Designed for hikers using support to move belongings between stages during a hike.
\
•	100 liters capacity, durable, with a large opening and shoulder carry straps useful even in trains and airports.
\
•	Dimensions - 100L / 1.7 kg /h - 41 cm, w -72 cm, d- 41 cm.
\
•	USE - Not completely waterproof; protect contents in case of rain
\
Minimum rental period is 3 days.",Outdoor,MUMBAI
Victorinox Tinker Swiss Knife,"Victorinox is a Swiss firm established in the field of multi-purpose tools industry. The features include a large blade, small blade, philips screwdriver, can opener with small screwdriver, bottle opener with large screwdriver, wire stripper, reamer with sewing eye, tweezers, toothpick and a key ring.
\
Minimum rental period is 3 days.",Outdoor,Mumbai
Victorinox Blister Range 15 Function Swiss Knife ,"This Swiss army knife is made from stainless steel. It has a large blade, small blade, bottle opener, can opener, large screwdriver, small screwdriver, wire stripper, corkscrew, tweezers, toothpick, scissors, reamer, punch, multi-purpose hook (parcel carrier), wood saw and a tiny key ring that can be attached to a set of keys.
\
Minimum rental period is 3 days",Outdoor,Mumbai
Canon 100mm 2.8,"The Canon 100 Macro internally focuses very fast, quietly and very accurately. This is a very comfortable-to-carry-and-use lens. This lens is most frequently recommend for someone starting out in macro photography. Weight: 600g",Camera,MUMBAI
Cinematic Slider (3 feet),"Full length, lightweight slider. Gives sideways, forward, back, slanted Slides.",Camera,MUMBAI
Foto gear (4 feet),,Camera,MUMBAI
Cinematic Slider (5 feet),"Full length, lightweight slider. Gives sideways, forward, back, slanted Slides.",Camera,MUMBAI
Cinematic Motor slider with speed control (5 feet),"Full length, lightweight slider. Gives sideways, forward, back, slanted Slides.",Camera,MUMBAI
Glidecam HD 2000,"Lightweight, compact, balance point adjustment screws on the top plate allow very fine control, 3 way movement of gimbal allows for some great panning shots. Plethora of top plate mounting holes allows for other components such as audio components to be added. ",Camera,MUMBAI
Glidecam HD 4000,"The HD 4000 system is easily configured to fit a wide range of camcorders, is easy to adjust and balance, is made of quality materials that fit together well. It is pro-class stabilization system.",Camera,MUMBAI
Glidecam HD 4000 with body vest,"The HD 4000 system is easily configured to fit a wide range of camcorders, is easy to adjust and balance, is made of quality materials that fit together well. It is pro-class stabilization system.",Camera,MUMBAI
Flycam,Its a great stabilizer with a Gimbal bearing handle that has a very good range of motion. It’s super compact and fits into a small bag. ,Camera,MUMBAI
Jib/Backpack Crane (12 feet),Consists of collapsible Jib Arm. Jib arm load capacity is upto 4536g,Camera,MUMBAI
Fluid head tripod,Fluid head tripod can support load upto 5000g. Includes pan arm & quick release plate. ,Camera,MUMBAI
Lanparte DOP Kit,"The kit comes with follow focus, matte box, arri style handgrip, shoulder pad, and power supply system. Furthermore the whole kit is  easy for transportation due to its compact nature.  ",Camera,MUMBAI
Follow focus,Gives smooth and precise focusing. Can be used for both small and big lenses.,Camera,MUMBAI
Shoulder Rig,"This is a ready-to-go solution that includes all the necessary pieces inside one box, even the counterbalance weight.",Camera,MUMBAI
Monopod,"Helps to support cameras, video cameras, binoculars or other precision instruments in the field.",Camera,MUMBAI
Tri Leg Monopod,,Camera,MUMBAI
Car Suction Mount for DSLR,"This Video Car Sucker is special design for car recording. With the three big 125mm sucker, suction capacity up to 80kg, can be stick on car front cover, car door, windshield, etc., to recording the scenery along your way. It can be adjusted at an angle, it can be made 360° angle adjustable by mounting a ball head on it. 1/4\",750,2015-06-30 06:04:33
Wireless Time Lapse Remote,,Camera,MUMBAI
22\,This is a high-end 12-bit video processing montior.,Camera,MUMBAI
ND filters,"ND filters help to reduce or modify the intensity of all wavelengths or colors of light equally, giving no changes in hue of color rendition. ",Camera,MUMBAI
Lapel mike,"This small dynamic microphone can be used for television, theatre, and public speaking applications in order to allow for hands-free operation. ",Camera,MUMBAI
Zoom H4N,,Camera,MUMBAI
Zoom H6N,,Camera,MUMBAI
552 recorder,Consists of Built-in stereo recorder with 5 analog inputs. Uses AA batteries or external DC power.,Camera,MUMBAI
Boom Mic,Useful for film and television production. Elastic suspensions and foam padding prevent vibrations from being transferred to the mic. ,Camera,MUMBAI
Rode Mic,Consists of capsule with lower noise and high sensitivity. Broadcast recording quality condenser microphone with integrated shock mounting.,Camera,MUMBAI
Elinchrome Master Rx/400 Rx,"Quiet fans suck air from the back of the unit, exhaling the hot air inside the softbox. Ultra consistent performance for every digital application. (QuickTime VR, multi and single shot digital imaging). It has an ultra stable circuitry for absolutely consistent flash power. ",Camera,MUMBAI
Elinchrome 23,"With small flashheads and a power pack light enough to carry with a shoulder strap, the Elinchrome 23 is a kit that is the perfect fit for frequent flyers and any photographer who want to keep their location kit as light as possible without sacrificing sun-combating power.",Camera,MUMBAI
On board LED light with diffusor,This is a professional series on-camera LED Light system which comes with a magnetic snap-on diffuser. ,Camera,MUMBAI
Softy Lights,"This is a chimera type of light. Ideal for interviews, office shoots, etc.",Camera,MUMBAI
Backdrops,"These backdrops provide precise, consistent, vibrant colours with a true non-reflective surface essential for a high quality film, video and photography studio applications.",Camera,MUMBAI
5 in one reflector,"The 5-in-1 Collapsible Reflector is versatile in the field and in the studio, providing shadow-lightening detail in your subject, using available, or studio lighting.",Camera,MUMBAI
DJI Ronin 3 axis Stabaliser with Easy rig and Operator,Supports Cameras up to 7250g in weight. Transmitter for remote pan/tilt control available. Bluetooth wireless interface for setup. Gimbal tuning stand included. ,Camera,MUMBAI
Canon Flash Light,This flash light is engineered to provide a new level of performance and reliability for professional flash photography with today's most advanced DSLRs. Weight: 425g,Camera,MUMBAI
Sony PD 177,This camcorder consists of the high performance Sony G-Lens which in combination with a ClearVid array and advanced image processing technology gives a great picture quality and low light performance. Applications ranging from wedding videography to corporate video and broadcast television. Weight(Body only):2200g,Camera,MUMBAI
Sony FX 700,"The PDW-700 captures stunning HD images. With fast file-based operation and outstanding picture quality, there is a widened appeal of XDCAM for applications such TV drama, documentaries and general entertainment programs, and for ENG where speed of operation is a critical requirement. Weight(Body only): 4300g",Camera,MUMBAI
Canon 5D Remote,"Remote switch with an 80cm cord to prevent camera shake for telephoto shots, macrophotography, and bulb exposures. The Remote Switch works just like a shutter button, enabling halfway or complete pressing. It also has a shutter-release lock.",Camera,MUMBAI
DOP Kit (Matte Box) Follow Focus,Supports large & small diameter lenses. Consists of height adjustable matte box & baseplate and has a reversible gear mechanism.,Camera,MUMBAI
70-200MM NIKKOR (VR2),"70-200mm focal length range; fast f/2.8 constant maximum aperture. Optical image stabilization – 4 stops with automatic panning detection and 'active' mode. Ring-type ultrasonic focusing with full-time manual override.
\
Compatible with: Nikon F; Weight: 1540g",Camera,MUMBAI
7\,Marshall 7\,2015-06-29 18:26:43,0
7\,Marshall 7\,2015-06-29 18:28:56,1
7\,The 7\,,
9\,"Consists of an IPS LCD panel. Has RGB bias & gain function, also includes waveform monitor & vectorscope.",Camera,MUMBAI
17\,This is a high-end 12-bit video processing montior.,Camera,MUMBAI
22\,This is a high-end 12-bit video processing montior.,Camera,MUMBAI
4 Channal Mixer (Battery Operated),4-Channel microphone submixer with individual level control and is portable battery powered.,Camera,MUMBAI
Boom Rod ,"This precision balanced professional boom rod for location recording, that allows one to mount the microphone securely and swivel it in a range of directions that allows one to easily change positions and follow the sound source.",Camera,MUMBAI
Hand Cordless Mike (Sennheiser),Consists of enhanced frequency bank system with up to 12 compatible frequencies. High-quality true diversity reception. Integrated equalizer and soundcheck mode.,Camera,MUMBAI
LED Light (1/1),"Daylight balanced with 5,600K. ",Camera,MUMBAI
LED Light (1/2),"Daylight balanced with 5,600K.",Camera,MUMBAI
LED Light Small ,The LED light works with great electrical efficiency and lasts longer. ,Camera,MUMBAI
Studio Assist 100MM,"This is a tripod that is a combination quality, strength, rigidity, and light weight. It is the ideal support for broadcast, cable, corporate and educational TV studios.",Camera,MUMBAI
Tripod - Manfrotto,,Camera,MUMBAI
Tripod - Succeed,,Camera,MUMBAI
Tripod - E-Image,,Camera,MUMBAI
Tripod - Libec,,Camera,MUMBAI
Monopod Manfrotto (MVM 500A) with Head,Maximum height of 200 cm. Consists of a fluid head. 3 mini legs at the base at more stability. Supports upto 5000g.,Camera,MUMBAI
Hercules MTB Reflex,"Hercules MTB Reflex is  loaded with features like twin tube frame design, integrated carrier, a turbodrive, aero soft grips, and Caliper brakes, which are sure to
\
make your commute comfortable and more enjoyable.",Bicycle,MUMBAI 
B-Twin My Bike,"With Quick-release front hub for easy removal of the wheel which is handy when you come to put your bike in the car, this bike is your perfect companion for that little cross-country sojourn. Rigid steel frame and fork provides durability and
\
With the easy adjustments you will stay comfortable and in control of the bike.",Bicycle,MUMBAI 
Schnell Dynamic 1.0,Boasting a lightweight alloy frame with alloy double disc brakes and \,Bicycle,MUMBAI
Mount Track Gear Up 9111 Rucksack,"This 60 litres Rucksack/ backpack from Mount Track has padded shoulders straps for comfort, internal pockets to store your gear, and a metal stay for comfort and back support around town or on the trail.
\
Product Features:
\
\
1. Dual Pockets on Hood
\
2. Zipped space on the hood
\
3. Sack Opening for main compartment
\
4. Frame less Fiber padded cushioned back
\
5. Adjustable Hip back that helps in weight division from   shoulders
\
6. Adjustable Sternum Strap that helps in keeping the shoulder belts in place.
\
7. Ideal for Unisex
\
8. Expandable sack for extra space
\
9. Water resistant material",Outdoor,Mumbai 
test_product,testing,Bicycle,MUMBAI